PostalCode,HashCode,Age,Gender,Payment Method,CustId,LastTransaction,ChurnDate
49278,BOl2gvcX,64,male,credit card,1,2012-04-17 2:05:40,2014-01-24 18:27:13
39982,lJC8cDTW,35,male,cheque,2,2011-11-25 6:58:03,2012-08-09 13:01:39
87213,tKIbadnh,25,female,credit card,3,2012-02-15 17:29:26,
38548,RcW2Pb3w,39,female,credit card,4,2010-10-09 11:22:28,2013-11-07 10:27:31
38794,z9twA4AJ,39,male,credit card,5,2012-06-13 10:13:08,
44573,akWNQl4e,28,female,cheque,6,2010-07-16 9:39:10,2011-06-23 7:08:53
70936,glrPDLzY,21,female,credit card,7,2012-03-15 22:17:03,
71302,Pn6FkbuL,48,male,credit card,8,2011-06-16 21:46:18,
49705,3rGPBX98,70,female,credit card,9,2011-03-30 14:17:44,2012-07-05 2:34:33
36049,9Eng7yI0,36,male,credit card,10,2013-04-17 18:06:59,
26323,uP7dRmDK,22,male,credit card,11,2013-03-11 17:37:27,
42376,XlxhfOIo,53,female,cash,12,2010-08-31 17:39:06,2013-08-31 17:21:18
42215,KYmSR2vE,27,male,cash,13,2011-07-15 7:16:15,
80059,EOGj6tDH,234,mänlich,credit card,14,2014-02-26 18:22:25,
57984,yTDlEBXc,22,male,cash,15,2011-05-09 6:30:35,
52245,3ANQ9shn,49,female,credit card,16,2011-02-18 10:22:00,2012-04-03 6:13:43
56625,BDEPLKmG,24,female,cash,17,2011-01-22 3:19:03,2013-02-28 23:50:54
50003,8vB4XorN,45,mänlich,credit card,18,2013-02-11 21:16:18,
37852,1SDtHCf7,45,male,credit card,19,2011-02-06 11:31:19,
66713,gQBDZ8Lw,66,female,cash,20,2011-03-09 23:04:48,2013-04-19 4:27:33
70052,G1c0kZqQ,82,female,cash,21,2010-10-10 10:29:03,2013-12-17 15:21:46
44272,lJC8cDTW,35,female,credit card,22,2010-10-14 7:48:11,
71962,n5YVLJ7v,17,female,credit card,23,2011-08-14 16:40:26,
30942,tIdMRZzN,52,male,cash,24,2010-06-23 3:58:56,2013-05-06 15:12:32
45355,HVtuFvKk,49,female,credit card,25,2010-08-31 0:27:10,2013-04-22 1:00:16
59736,LJVy8PnW,33,female,credit card,26,2010-06-16 7:45:22,2011-12-11 22:08:15
27323,YrunTynm,40,male,credit card,27,2012-01-25 12:02:23,2013-11-22 14:59:01
44466,Pme0EuIj,53,female,credit card,28,2010-07-30 20:28:49,2012-10-24 23:17:27
62985,lOppPgbt,64,female,credit card,29,2011-08-15 2:23:26,2011-08-29 7:58:33
48487,FQONt9Qj,42,female,credit card,30,2010-10-24 8:39:01,2012-05-24 4:48:17
25067,kGbkHPe3,66,male,cash,31,2010-12-09 19:08:48,2013-10-01 6:20:25
51008,ZBaMGxyd,84,female,cash,32,2010-06-06 3:53:51,
46682,G1c0kZqQ,34,male,cheque,33,2012-04-30 18:42:56,
